timestamp	iteration	name	gen_tps	delta_gen	prompt_tps	outcome	hypothesis
16:54:31	1	Aggressive CPU Offload + Context Reduction for Q8 KV	61.70	+0.00	281.90	FAILED	Offloading layers 20-29 to CPU will free enough VRAM to allow a 16k context size with a high-precision q8_0 KV cache, potentially improving gen speed via better cache-to-compute throughput.
16:56:49	2	Aggressive CPU Offload with Context Reduction for Q4 KV	61.70	+0.00	281.90	FAILED	By offloading 10 layers to CPU and reducing context to 16k, we free enough VRAM to utilize q4_0 KV cache while maintaining high throughput.
16:59:06	3	Context Reduction for High-Precision KV	61.70	+0.00	281.90	FAILED	Reducing ctx_size to 16384 will free significant VRAM to allow q8_0 KV cache without OOMing, potentially improving generation quality/speed balance.
17:01:24	4	Aggressive CPU Offload + Context Reduction for Q8 KV	61.70	+0.00	281.90	FAILED	By offloading layers 20-29 to CPU and dropping ctx to 16384, we free enough VRAM to utilize q8_0 KV cache to improve precision-weighted throughput.
17:03:42	5	Deep CPU Offload with Reduced Context for High-Precision KV	61.70	+0.00	281.90	FAILED	Offloading layers 20-29 to CPU will free sufficient VRAM to allow a 16k context with q8_0 KV cache without OOMing.
17:06:02	6	Aggressive CPU Offload (12 layers) + Context Reduction for Q4 KV	61.70	+0.00	281.90	FAILED	By offloading 12 layers to CPU, we free enough VRAM to run a reduced context (16384) with high-precision q8_0 KV cache to test if the memory bandwidth savings on the GPU outweigh the CPU transfer overhead.
17:08:20	7	Deep CPU Offload + Context Compression + Q4_NL KV	61.70	+0.00	281.90	FAILED	Increasing CPU offload to 10 layers and reducing context to 16384 will provide enough VRAM headroom to use iq4_nl KV cache, potentially increasing gen speed via better cache packing.
17:10:39	8	Moderate CPU Offload + Q5_0 KV with 16k Context	61.70	+0.00	281.90	FAILED	By offloading 10 layers to CPU (blk.20-29) and reducing context to 16384, we free enough VRAM to use q5_0 KV cache to balance precision and speed.
17:18:10	1	ubatch 2048	ubatch_size	2048	61.70	+0.00	281.90	FAILED
17:18:47	2	ubatch 512	ubatch_size	512	63.56	+1.86	267.28	IMPROVED
17:19:21	3	cpu layers 4 (26-29)	override_layers	2[6-9]	68.59	+5.03	315.06	IMPROVED
17:20:29	4	threads 4	threads	4	70.60	+2.01	284.71	IMPROVED
17:21:04	5	threads 6	threads	6	67.63	-2.97	290.59	NO_CHANGE
17:21:41	6	cpu layers 8 (22-29)	override_layers	2[2-9]	61.36	-9.24	187.03	NO_CHANGE
17:22:09	7	defrag 0.1	extra	['--defrag-thold', '0.1']	70.60	+0.00	284.71	BENCH_FAIL
17:22:46	8	threads 12 all-core	threads	12	60.43	-10.18	317.04	NO_CHANGE
17:23:21	9	no-mmap	extra	['--no-mmap']	70.56	-0.05	284.84	NO_CHANGE
17:23:59	10	cpu layers 10 (20-29)	override_layers	2[0-9]	57.01	-13.59	157.77	NO_CHANGE
17:24:36	11	threads 16 all-core	threads	16	58.72	-11.88	315.05	NO_CHANGE
17:25:10	12	defrag 0.5	extra	['--defrag-thold', '0.5']	70.94	+0.33	279.80	NO_CHANGE
17:25:43	13	cpu-strict off	extra	['--cpu-strict', '0']	70.78	+0.18	280.06	NO_CHANGE
17:25:58	14	ubatch 4096	ubatch_size	4096	70.60	+0.00	284.71	FAILED
17:26:32	15	parallel 2	extra	['--parallel', '2']	71.11	+0.51	280.03	IMPROVED
