iter	name	score	outcome	ts
0	baseline	0.0	BASELINE	2026-04-26T18:04:03.348452
0	baseline	2.0	BASELINE	2026-04-26T19:11:26.253164
1	force_tool_on_uncertain_facts	2.0	REVERT	+0.00	2026-04-26T19:12:51.011350
2	require_tool_for_live_data	2.0	REVERT	+0.00	2026-04-26T19:14:11.911668
3	hard_tool_requirement_for_live_data	1.8571428571428572	REVERT	-0.14	2026-04-26T19:15:59.604637
0	baseline	1.4285714285714286	BASELINE	2026-04-26T19:18:43.429655
1	explicit_failure_handling	1.4285714285714286	REVERT	+0.00	2026-04-26T19:20:08.844650
2	explicit_tool_requirement	1.4285714285714286	REVERT	+0.00	2026-04-26T19:22:21.953143
3	explicit_failure_handling	1.7142857142857142	KEEP	+0.29	2026-04-26T19:24:30.693783
0	baseline	3.3333333333333335	BASELINE	2026-04-26T19:30:04.152360
1	explicit_port_check_rule	3.3333333333333335	+0.00	REVERT	2026-04-26T19:32:02.505885
2	explicit_search_stop_rule	2.888888888888889	-0.44	REVERT	2026-04-26T19:34:11.893721
3	explicit_failure_stop_rule	4.222222222222222	+0.89	KEEP	2026-04-26T19:37:04.545260
4	explicit_minimal_search_rule	3.888888888888889	-0.33	REVERT	2026-04-26T19:39:39.916910
5	explicit_minimal_search_rule_v2	1.6666666666666667	-2.56	REVERT	2026-04-26T19:42:08.242439
6	explicit_minimal_search_rule_v3	2.888888888888889	-1.33	REVERT	2026-04-26T19:44:56.102060
7	explicit_minimal_search_rule_v4	2.7777777777777777	-1.44	REVERT	2026-04-26T19:47:13.764375
8	explicit_minimal_search_rule_v5	4.0	-0.22	REVERT	2026-04-26T19:49:32.878774
9	explicit_minimal_search_rule_v6	2.7777777777777777	-1.44	REVERT	2026-04-26T19:51:42.227272
10	explicit_shell_verification_rule	3.3333333333333335	-0.89	REVERT	2026-04-26T19:54:20.745302
11	explicit_minimal_search_rule_v7	2.111111111111111	-2.11	REVERT	2026-04-26T19:56:49.009267
12	explicit_shell_verification_rule_v2	3.888888888888889	-0.33	REVERT	2026-04-26T19:59:27.766017
13	explicit_minimal_search_rule_v8	4.111111111111111	-0.11	REVERT	2026-04-26T20:02:18.552367
0	baseline	3.2222222222222223	BASELINE	2026-04-26T20:37:23.012685
