iter	name	variable	value	tg_median	tg_p90	delta	outcome	desc
0	baseline	-	-	74.35	74.38	+0.00	BASELINE	pass-1 canonical (fp16 KV)
1	Marlin atomic-add	VLLM_MARLIN_USE_ATOMIC_ADD	1	80.59	80.60	+6.25	IMPROVEMENT	atomic-add reduce in gptq_marlin kernel for small-n decode layers (TP=2 eligible)
2	FlashInfer workspace 1GB	VLLM_FLASHINFER_WORKSPACE_BUFFER_SIZE	1073741824	73.57	73.60	-7.02	NO_CHANGE	FlashInfer workspace 1 GB (default 394 MB) — prevents mid-request realloc
3	FlashInfer workspace 768MB	VLLM_FLASHINFER_WORKSPACE_BUFFER_SIZE	805306368	74.92	74.94	-5.67	NO_CHANGE	FlashInfer workspace 768 MB — bisect between default and 1 GB
4	OMP threads 2	OMP_NUM_THREADS	2	80.14	80.17	-0.46	NO_CHANGE	OMP=2 threads — bisect between pass-1 baseline (1) and marginal (4)
5	NCCL buffer 8MB	NCCL_BUFFSIZE	8388608	80.99	81.05	+0.40	MARGINAL	NCCL allreduce buffer 8 MB (default 4 MB) — reduces fragmentation on TP=2 PCIe
6	NCCL buffer 16MB	NCCL_BUFFSIZE	16777216	81.65	81.70	+1.06	MARGINAL	NCCL allreduce buffer 16 MB — test if larger buffer helps further
7	max_split_mb 64	PYTORCH_MAX_SPLIT_MB	64	81.18	81.19	+0.58	MARGINAL	PYTORCH_CUDA_ALLOC_CONF max_split_size_mb=64 — tighter allocator pools
8	max_split_mb 128	PYTORCH_MAX_SPLIT_MB	128	74.44	74.55	-6.15	NO_CHANGE	PYTORCH_CUDA_ALLOC_CONF max_split_size_mb=128 — moderate pool tightening
9	OMP4 + exclusive buffer	OMP_NUM_THREADS	4	80.54	80.66	-0.06	NO_CHANGE	stack pass-1 marginals: OMP=4 (+0.94) + exclusive buffer (+1.05)
10	OMP4 + exclusive + GMU 0.88	OMP_NUM_THREADS	4	79.15	79.19	-1.45	NO_CHANGE	triple marginal stack: OMP=4 + exclusive + GMU 0.88 (+0.94+1.05+0.45)
11	ctx 16K + GMU 0.88	max_model_len	16384	79.11	79.12	-1.48	NO_CHANGE	stack ctx 16K (+0.40) + GMU 0.88 (+0.45) — smaller graphs + more KV blocks
12	Marlin atomic + OMP4 + exclusive	VLLM_MARLIN_USE_ATOMIC_ADD	1	80.02	80.15	-0.58	NO_CHANGE	Marlin atomic-add + OMP=4 + exclusive buffer — three-way stack
99	FINAL	-	-	80.48	80.55	+6.13	FINAL	best config re-verified
